T_ms,lifecycle,substate,x,y,speed,adv_v,turn_v,dist_wp,wps_left,yaw_odo,yaw_mag,yaw_fused,cal_status
4,running,cruise,0.00,0.00,0.16,0.02,0.12,50.00,4,133.82,0.00,133.82,done
62,running,cruise,-0.00,0.00,-0.29,0.28,0.67,50.00,4,-0.02,0.00,-0.02,done
120,running,cruise,-0.03,0.00,-0.48,-29.49,0.66,50.03,4,-0.05,0.00,-0.03,done
178,running,cruise,0.01,0.00,1.74,0.74,0.76,49.99,4,-0.08,1.31,0.48,done
236,running,cruise,-0.00,0.00,-2.48,0.97,0.62,50.00,4,-0.11,-1.42,-0.30,done
293,running,cruise,-0.18,0.00,-2.19,1.20,0.51,50.18,4,-0.13,-1.42,-0.77,done
352,running,cruise,-0.18,0.00,1.48,1.44,0.53,50.18,4,-0.15,-0.46,-0.66,done
410,running,cruise,-0.08,0.00,1.21,1.67,0.55,50.08,4,-0.18,-0.46,-0.59,done
467,running,cruise,-0.06,0.00,-0.23,1.90,0.60,50.06,4,-0.20,0.03,-0.36,done
525,running,cruise,-0.06,0.00,0.54,2.13,0.62,50.06,4,-0.22,0.03,-0.22,done
583,running,cruise,0.01,0.00,1.67,2.36,0.66,49.99,4,-0.25,0.20,-0.08,done
641,running,cruise,0.09,0.00,0.86,2.59,0.55,49.91,4,-0.28,-1.72,-0.75,done
699,running,cruise,0.11,-0.00,0.23,2.83,0.48,49.89,4,-0.30,-1.72,-1.16,done
757,running,cruise,0.16,-0.00,1.10,3.06,0.42,49.84,4,-0.32,-1.93,-1.48,done
814,running,cruise,0.21,-0.00,0.70,3.29,0.39,49.79,4,-0.33,-1.93,-1.67,done
873,running,cruise,0.23,-0.00,0.18,3.52,0.44,49.77,4,-0.34,-1.09,-1.45,done
931,running,cruise,0.26,-0.00,0.55,3.75,0.46,49.74,4,-0.36,-1.09,-1.32,done
988,running,cruise,0.29,-0.00,0.62,3.81,0.59,49.71,4,-0.38,0.44,-0.63,done
1046,running,cruise,0.34,-0.00,1.12,3.62,0.69,49.66,4,-0.41,0.62,-0.14,done
1104,running,cruise,0.41,-0.00,1.28,3.48,0.76,49.59,4,-0.44,0.62,0.14,done
1162,running,cruise,0.47,-0.00,0.80,3.58,0.71,49.53,4,-0.47,-0.58,-0.17,done
1220,running,cruise,0.52,-0.00,0.96,3.64,0.68,49.48,4,-0.50,-0.58,-0.36,done
1277,running,cruise,0.58,-0.01,1.20,3.86,0.56,49.42,4,-0.53,-1.96,-1.02,done
1335,running,cruise,0.66,-0.01,1.26,4.01,0.50,49.34,4,-0.55,-1.96,-1.41,done
1393,running,cruise,0.73,-0.01,1.31,4.15,0.43,49.27,4,-0.57,-2.38,-1.81,done
1451,running,cruise,0.81,-0.01,1.55,3.95,0.53,49.19,4,-0.59,-0.64,-1.36,done
1509,running,cruise,0.91,-0.01,1.67,3.81,0.59,49.09,4,-0.61,-0.64,-1.09,done
1567,running,cruise,1.00,-0.01,1.50,3.65,0.68,49.00,4,-0.64,0.54,-0.46,done
1625,running,cruise,1.07,-0.02,1.11,3.50,0.75,48.93,4,-0.67,0.54,-0.08,done
1683,running,cruise,1.15,-0.02,1.47,3.34,0.83,48.85,4,-0.70,1.00,0.33,done
1741,running,cruise,1.24,-0.01,1.65,3.23,0.88,48.76,4,-0.74,1.00,0.57,done
1799,running,cruise,1.33,-0.01,1.37,3.30,0.85,48.67,4,-0.78,-0.11,0.26,done
1856,running,cruise,1.42,-0.01,1.73,3.41,0.79,48.58,4,-0.82,-0.71,-0.16,done
1914,running,cruise,1.51,-0.01,1.60,3.47,0.77,48.49,4,-0.86,-0.71,-0.41,done
1972,running,cruise,1.60,-0.01,1.64,3.37,0.82,48.40,4,-0.89,0.17,-0.20,done
2031,running,cruise,1.70,-0.01,1.69,3.29,0.86,48.30,4,-0.93,0.17,-0.08,done
2088,running,cruise,1.83,-0.02,2.27,3.42,0.79,48.17,4,-0.97,-1.25,-0.58,done
2147,running,cruise,1.95,-0.02,1.72,3.48,0.76,48.05,4,-1.01,-1.25,-0.87,done
2205,running,cruise,2.03,-0.02,1.59,3.27,0.87,47.97,4,-1.05,0.46,-0.37,done
2263,running,cruise,2.15,-0.02,2.34,2.97,1.01,47.85,4,-1.09,1.40,0.31,done
2321,running,cruise,2.28,-0.02,2.16,2.76,1.12,47.72,4,-1.14,1.40,0.71,done
2379,running,cruise,2.39,-0.02,1.80,2.61,1.20,47.61,4,-1.20,1.40,0.94,done
2437,running,cruise,2.51,-0.01,2.21,2.49,1.26,47.49,4,-1.26,1.40,1.08,done
2495,running,cruise,2.64,-0.01,2.19,2.29,1.35,47.36,4,-1.32,1.93,1.37,done
2553,running,cruise,2.76,-0.01,2.25,2.14,1.43,47.24,4,-1.39,1.93,1.54,done
2610,running,cruise,2.89,-0.00,2.16,2.37,1.09,47.11,4,-1.46,-0.51,0.66,done
2669,running,cruise,3.01,-0.00,1.72,2.61,1.16,46.99,4,-1.52,1.35,0.90,done
2727,running,cruise,3.11,-0.00,1.76,2.59,1.21,46.89,4,-1.58,1.35,1.03,done
2785,running,cruise,3.21,0.00,1.79,2.36,1.32,46.79,4,-1.64,2.45,1.55,done
2843,running,cruise,3.31,0.00,1.61,2.20,1.40,46.69,4,-1.71,2.45,1.86,done
2900,running,cruise,3.39,0.01,1.16,2.25,1.38,46.61,4,-1.78,1.31,1.59,done
2959,running,cruise,3.45,0.01,1.01,2.27,1.37,46.55,4,-1.85,1.31,1.43,done
3016,running,cruise,3.51,0.01,0.88,2.47,1.27,46.49,4,-1.91,-0.12,0.75,done
3074,running,cruise,3.55,0.01,0.68,2.49,1.26,46.45,4,-1.98,0.58,0.64,done
3190,running,cruise,3.65,0.01,0.92,2.48,1.26,46.35,4,-2.10,0.58,0.52,done
3256,running,cruise,3.72,0.01,1.24,2.22,1.39,46.28,4,-2.18,2.15,1.11,done
3314,running,cruise,3.80,0.01,1.28,1.94,1.53,46.20,4,-2.25,2.94,1.79,done
3372,running,cruise,3.87,0.02,1.13,1.96,1.52,46.13,4,-2.33,1.42,1.58,done
3429,running,cruise,3.91,0.02,0.65,1.98,1.51,46.09,4,-2.41,1.42,1.46,done
3487,running,cruise,3.96,0.02,0.99,1.91,1.55,46.04,4,-2.49,1.87,1.56,done
3545,running,cruise,4.03,0.02,1.40,1.83,1.58,45.97,4,-2.57,1.87,1.62,done
3603,running,cruise,4.12,0.02,1.32,1.80,1.60,45.88,4,-2.65,1.60,1.55,done
3662,running,cruise,4.20,0.02,1.50,1.75,1.62,45.80,4,-2.74,1.60,1.51,done
3719,running,cruise,4.27,0.03,1.32,1.81,1.59,45.73,4,-2.82,0.90,1.20,done
3777,running,cruise,4.36,0.03,1.59,1.90,1.55,45.64,4,-2.90,0.34,0.79,done
3834,running,cruise,4.46,0.03,1.92,1.92,1.54,45.54,4,-2.98,0.34,0.55,done
3892,running,cruise,4.57,0.03,1.96,1.88,1.56,45.43,4,-3.06,0.43,0.44,done
3950,running,cruise,4.68,0.03,1.93,1.82,1.59,45.32,4,-3.14,0.43,0.38,done
4007,running,cruise,4.79,0.03,1.65,1.97,1.45,45.21,4,-3.22,-0.83,-0.17,done
4065,running,cruise,4.87,0.03,1.31,2.20,1.19,45.13,4,-3.29,-0.83,-0.48,done
4123,running,cruise,4.95,0.03,1.34,2.43,1.24,45.05,4,-3.35,0.02,-0.32,done
4182,running,cruise,5.04,0.03,1.77,2.40,1.30,44.96,4,-3.41,0.41,-0.08,done
4240,running,cruise,5.14,0.03,1.54,2.30,1.35,44.86,4,-3.48,0.41,0.07,done
4297,running,cruise,5.21,0.03,1.17,2.36,1.32,44.79,4,-3.55,-0.55,-0.23,done
4355,running,cruise,5.29,0.03,1.49,2.37,1.31,44.71,4,-3.61,-0.55,-0.41,done
4413,running,cruise,5.39,0.03,1.96,2.25,1.38,44.61,4,-3.68,0.23,-0.20,done
4470,running,cruise,5.48,0.03,1.36,2.15,1.42,44.52,4,-3.75,0.23,-0.08,done
4529,running,cruise,5.55,0.03,1.47,1.88,1.56,44.45,4,-3.83,1.71,0.58,done
4591,running,cruise,5.67,0.03,2.11,1.74,1.63,44.33,4,-3.92,1.11,0.73,done
4656,running,cruise,5.80,0.03,1.78,1.62,1.69,44.20,4,-4.01,1.11,0.81,done
4714,running,cruise,5.90,0.03,1.50,1.59,1.71,44.10,4,-4.10,0.67,0.69,done
4772,running,cruise,6.00,0.03,1.79,1.54,1.73,44.00,4,-4.19,0.67,0.61,done
4831,running,cruise,6.10,0.04,1.68,1.48,1.76,43.90,4,-4.28,0.61,0.54,done
4891,running,cruise,6.20,0.04,1.64,1.25,1.88,43.80,4,-4.38,1.74,0.95,done
4951,running,cruise,6.29,0.04,1.37,1.08,1.96,43.71,4,-4.49,1.74,1.18,done
5013,running,cruise,6.36,0.04,1.03,1.15,1.93,43.64,4,-4.60,0.54,0.84,done
5073,running,cruise,6.42,0.04,1.06,1.17,1.92,43.58,4,-4.70,0.54,0.64,done
5131,running,cruise,6.49,0.04,1.14,1.40,1.75,43.51,4,-4.80,-1.67,-0.36,done
5190,running,cruise,6.56,0.04,0.99,1.63,1.67,43.44,4,-4.89,-1.67,-0.96,done
5249,running,cruise,6.62,0.04,1.34,1.45,1.78,43.38,4,-4.98,0.26,-0.54,done
5308,running,cruise,6.72,0.04,1.71,1.52,1.74,43.28,4,-5.08,-1.31,-0.91,done
5366,running,cruise,6.81,0.04,1.61,1.69,1.34,43.19,4,-5.16,-1.31,-1.13,done
5426,running,cruise,6.90,0.03,1.54,1.93,1.39,43.10,4,-5.23,-0.55,-0.95,done
5484,running,cruise,7.00,0.03,2.09,2.12,1.44,43.00,4,-5.30,-0.55,-0.85,done
5542,running,cruise,7.14,0.03,2.79,1.88,1.56,42.86,4,-5.38,0.46,-0.38,done
5600,running,cruise,7.32,0.03,3.01,1.85,1.57,42.68,4,-5.46,-0.89,-0.65,done
