T_ms,lifecycle,substate,x,y,theta_deg,speed,adv_v,turn_v,dist_wp,counter,wps_left,mag_x_raw,mag_y_raw,yaw_gyro,yaw_mag,cal_status
4,running,cruise,0.00,0.00,0.00,0.26,0.03,0.18,50.00,0,4,0.6080,0.2659,-157.94,0.00,not_cal
82,running,cruise,0.02,-0.00,-0.04,-0.00,0.36,0.70,49.98,0,4,0.6139,0.2643,-0.04,-0.32,not_cal
159,running,cruise,-0.02,0.00,-0.10,-0.77,0.67,0.68,50.02,0,4,0.6132,0.2666,-0.10,-0.12,not_cal
251,running,cruise,-0.05,0.00,-0.16,0.18,1.03,0.66,50.05,0,4,0.6132,0.2666,-0.16,-0.12,not_cal
328,running,cruise,-0.03,0.00,-0.21,0.29,1.34,0.66,50.03,0,4,0.6100,0.2666,-0.21,-0.01,not_cal
404,running,cruise,-0.01,-0.00,-0.26,0.17,1.65,0.65,50.01,0,4,0.6097,0.2601,-0.26,-0.51,not_cal
481,running,cruise,0.01,-0.00,-0.31,0.30,1.96,0.64,49.99,0,4,0.6069,0.2610,-0.31,-0.35,not_cal
558,running,cruise,0.04,-0.00,-0.36,0.42,2.27,0.64,49.96,0,4,0.6069,0.2610,-0.36,-0.35,not_cal
636,running,cruise,0.07,-0.00,-0.40,0.50,2.58,0.63,49.93,0,4,0.6124,0.2600,-0.40,-0.61,not_cal
712,running,cruise,0.11,-0.00,-0.45,0.57,2.88,0.63,49.89,0,4,0.6072,0.2671,-0.45,0.13,not_cal
790,running,cruise,0.16,-0.00,-0.50,0.57,3.19,0.63,49.84,0,4,0.6119,0.2680,-0.50,0.03,not_cal
866,running,cruise,0.21,-0.00,-0.55,0.70,3.50,0.63,49.79,0,4,0.6076,0.2635,-0.55,-0.17,not_cal
943,running,cruise,0.27,-0.00,-0.60,0.77,3.75,0.63,49.73,0,4,0.6076,0.2635,-0.60,-0.17,not_cal
1021,running,cruise,0.33,-0.00,-0.65,0.82,3.75,0.62,49.67,0,4,0.6069,0.2617,-0.65,-0.29,not_cal
1098,running,cruise,0.38,-0.00,-0.69,0.42,3.76,0.62,49.62,0,4,0.6098,0.2638,-0.69,-0.23,not_cal
1174,running,cruise,0.40,-0.00,-0.74,0.18,3.77,0.62,49.60,0,4,0.6042,0.2625,-0.74,-0.14,not_cal
1252,running,cruise,0.40,-0.00,-0.79,-0.18,3.79,0.61,49.60,0,4,0.6042,0.2625,-0.79,-0.14,not_cal
1329,running,cruise,0.38,-0.00,-0.83,-0.11,3.81,0.60,49.62,0,4,0.6035,0.2605,-0.83,-0.27,not_cal
1406,running,cruise,0.38,-0.00,-0.88,-0.07,3.83,0.59,49.62,0,4,0.6122,0.2650,-0.88,-0.21,not_cal
1483,running,cruise,0.36,-0.00,-0.92,-0.24,3.85,0.58,49.64,0,4,0.6063,0.2628,-0.92,-0.19,not_cal
1561,running,cruise,0.36,-0.00,-0.97,0.21,3.87,0.57,49.64,0,4,0.6063,0.2628,-0.97,-0.19,not_cal
1638,running,cruise,0.39,-0.00,-1.01,0.25,3.88,0.56,49.61,0,4,0.6111,0.2626,-1.01,-0.36,not_cal
1715,running,cruise,0.40,-0.00,-1.06,0.30,3.89,0.55,49.60,0,4,0.6121,0.2579,-1.06,-0.77,not_cal
1792,running,cruise,0.45,-0.00,-1.10,0.71,3.90,0.55,49.55,0,4,0.6118,0.2636,-1.10,-0.31,not_cal
1870,running,cruise,0.50,-0.01,-1.14,0.59,3.90,0.55,49.50,0,4,0.6118,0.2636,-1.14,-0.31,not_cal
1947,running,cruise,0.55,-0.01,-1.18,0.75,3.90,0.55,49.45,0,4,0.6111,0.2632,-1.18,-0.32,not_cal
2025,running,cruise,0.62,-0.01,-1.23,0.93,3.90,0.55,49.38,0,4,0.6159,0.2604,-1.23,-0.70,not_cal
2101,running,cruise,0.70,-0.01,-1.27,1.04,3.90,0.55,49.30,0,4,0.6090,0.2653,-1.27,-0.08,not_cal
2178,running,cruise,0.78,-0.01,-1.31,1.11,3.90,0.55,49.22,0,4,0.6090,0.2653,-1.31,-0.08,not_cal
2256,running,cruise,0.87,-0.01,-1.35,1.28,3.89,0.56,49.13,0,4,0.6103,0.2594,-1.35,-0.59,not_cal
2333,running,cruise,0.98,-0.02,-1.40,1.52,3.92,0.54,49.02,0,4,0.6121,0.2573,-1.40,-0.82,not_cal
2410,running,cruise,1.10,-0.02,-1.44,1.54,3.91,0.55,48.90,0,4,0.6096,0.2538,-1.44,-1.01,not_cal
2488,running,cruise,1.22,-0.02,-1.48,1.90,3.89,0.55,48.78,0,4,0.6070,0.2591,-1.48,-0.50,not_cal
2565,running,cruise,1.37,-0.03,-1.52,2.16,3.87,0.56,48.63,0,4,0.6070,0.2591,-1.52,-0.50,not_cal
2643,running,cruise,1.60,-0.03,-1.57,3.21,3.83,0.58,48.40,0,4,0.6072,0.2559,-1.57,-0.76,not_cal
2719,running,cruise,1.81,-0.04,-1.61,2.42,3.80,0.60,48.19,0,4,0.6140,0.2591,-1.61,-0.74,not_cal
2796,running,cruise,2.01,-0.04,-1.66,2.90,3.76,0.62,47.99,0,4,0.6070,0.2583,-1.66,-0.57,not_cal
2873,running,cruise,2.26,-0.05,-1.71,3.32,3.70,0.65,47.74,0,4,0.6070,0.2583,-1.71,-0.57,not_cal
2950,running,cruise,2.52,-0.06,-1.76,3.50,3.64,0.68,47.48,0,4,0.6096,0.2633,-1.76,-0.25,not_cal
3028,running,cruise,2.82,-0.07,-1.81,4.12,3.56,0.72,47.18,0,4,0.6115,0.2572,-1.81,-0.81,not_cal
3105,running,cruise,3.12,-0.08,-1.86,3.47,3.65,0.68,46.88,0,4,0.6087,0.2568,-1.86,-0.75,not_cal
3183,running,cruise,3.37,-0.09,-1.92,3.25,3.59,0.70,46.63,0,4,0.6087,0.2568,-1.92,-0.75,not_cal
3260,running,cruise,3.64,-0.10,-1.97,3.74,3.53,0.74,46.36,0,4,0.6159,0.2577,-1.97,-0.91,not_cal
3337,running,cruise,3.91,-0.11,-2.03,3.07,3.46,0.77,46.09,0,4,0.6103,0.2533,-2.03,-1.08,not_cal
3414,running,cruise,4.14,-0.11,-2.09,3.45,3.40,0.80,45.86,0,4,0.6112,0.2509,-2.09,-1.30,not_cal
3491,running,cruise,4.44,-0.12,-2.15,4.06,3.30,0.85,45.56,0,4,0.6112,0.2509,-2.15,-1.30,not_cal
3568,running,cruise,4.74,-0.14,-2.22,3.37,3.21,0.90,45.27,0,4,0.6135,0.2502,-2.22,-1.43,not_cal
3649,running,cruise,4.97,-0.15,-2.28,2.67,3.43,0.79,45.03,0,4,0.6157,0.2562,-2.28,-1.03,not_cal
3736,running,cruise,5.22,-0.16,-2.35,3.17,3.37,0.82,44.78,0,4,0.6129,0.2486,-2.35,-1.54,not_cal
