T_ms,lifecycle,substate,x,y,theta_deg,speed,adv_v,turn_v,dist_wp,counter,wps_left,yaw_gyro,yaw_mag,cal_status
4,running,cruise,0.00,0.00,0.00,0.21,0.02,-0.08,50.00,0,4,123.60,0.00,done
81,running,cruise,0.02,0.00,0.04,0.09,0.35,-0.67,49.98,0,4,0.03,0.45,done
159,running,cruise,0.01,-0.00,0.09,-0.06,0.66,-0.66,49.99,0,4,0.08,0.45,done
236,running,cruise,0.02,0.00,0.14,0.27,0.97,-0.65,49.98,0,4,0.13,0.67,done
313,running,cruise,0.04,0.00,0.21,0.24,1.27,-0.64,49.96,0,4,0.18,1.58,done
391,running,cruise,0.05,0.00,0.24,0.04,1.59,-0.63,49.95,0,4,0.23,1.02,done
469,running,cruise,0.05,0.00,0.29,-0.03,1.90,-0.63,49.95,0,4,0.27,1.02,done
546,running,cruise,0.06,0.00,0.35,0.14,2.20,-0.62,49.94,0,4,0.32,2.03,done
624,running,cruise,0.08,0.00,0.40,0.37,2.52,-0.61,49.92,0,4,0.37,2.10,done
700,running,cruise,0.11,0.00,0.46,0.37,2.82,-0.60,49.89,0,4,0.41,2.71,done
777,running,cruise,0.13,0.00,0.50,0.41,3.13,-0.60,49.87,0,4,0.45,2.71,done
856,running,cruise,0.17,0.00,0.52,0.50,3.44,-0.60,49.83,0,4,0.50,1.38,done
933,running,cruise,0.21,0.00,0.55,0.40,3.76,-0.60,49.79,0,4,0.54,0.89,done
1010,running,cruise,0.24,0.00,0.59,0.56,3.81,-0.60,49.76,0,4,0.59,0.82,done
1089,running,cruise,0.29,0.00,0.63,0.82,3.81,-0.60,49.71,0,4,0.63,0.64,done
1166,running,cruise,0.36,0.00,0.68,0.82,3.81,-0.60,49.64,0,4,0.68,0.64,done
1242,running,cruise,0.42,0.00,0.73,0.88,3.81,-0.60,49.58,0,4,0.72,0.97,done
1332,running,cruise,0.51,0.00,0.77,1.15,3.80,-0.60,49.49,0,4,0.77,0.61,done
1431,running,cruise,0.64,0.01,0.83,1.39,3.78,-0.61,49.36,0,4,0.83,0.62,done
1508,running,cruise,0.75,0.01,0.86,1.48,3.76,-0.62,49.25,0,4,0.88,-0.07,done
1586,running,cruise,0.87,0.01,0.90,1.66,3.74,-0.63,49.13,0,4,0.92,-0.07,done
1663,running,cruise,0.99,0.01,0.98,1.50,3.81,-0.59,49.01,0,4,0.97,1.49,done
1740,running,cruise,1.11,0.01,1.01,1.72,3.80,-0.60,48.89,0,4,1.01,1.01,done
1817,running,cruise,1.27,0.02,1.06,2.34,3.77,-0.61,48.73,0,4,1.06,1.05,done
1894,running,cruise,1.45,0.02,1.09,2.17,3.74,-0.63,48.55,0,4,1.10,0.63,done
1971,running,cruise,1.63,0.02,1.14,2.57,3.71,-0.65,48.37,0,4,1.15,0.63,done
2049,running,cruise,1.84,0.03,1.20,2.99,3.66,-0.67,48.16,0,4,1.20,1.27,done
2127,running,cruise,2.08,0.03,1.25,3.14,3.61,-0.70,47.92,0,4,1.25,1.27,done
2203,running,cruise,2.31,0.04,1.29,2.89,3.55,-0.73,47.69,0,4,1.30,0.85,done
2281,running,cruise,2.54,0.04,1.35,2.97,3.49,-0.76,47.46,0,4,1.36,0.85,done
2358,running,cruise,2.78,0.05,1.39,3.33,3.41,-0.79,47.22,0,4,1.41,0.27,done
2436,running,cruise,3.04,0.06,1.43,3.20,3.54,-0.73,46.96,0,4,1.47,-0.72,done
2514,running,cruise,3.29,0.06,1.50,3.16,3.49,-0.76,46.71,0,4,1.52,0.53,done
2591,running,cruise,3.53,0.07,1.56,3.00,3.43,-0.79,46.47,0,4,1.58,0.53,done
2668,running,cruise,3.75,0.08,1.63,2.81,3.38,-0.81,46.25,0,4,1.64,1.37,done
2746,running,cruise,3.98,0.08,1.68,2.99,3.31,-0.85,46.02,0,4,1.70,0.48,done
2823,running,cruise,4.20,0.09,1.72,2.70,3.24,-0.88,45.80,0,4,1.76,-0.31,done
2899,running,cruise,4.40,0.09,1.79,2.55,3.18,-0.91,45.60,0,4,1.83,-0.31,done
2978,running,cruise,4.59,0.10,1.86,2.40,3.12,-0.94,45.41,0,4,1.90,-0.04,done
3055,running,cruise,4.78,0.11,1.93,2.53,3.09,-0.81,45.22,0,4,1.97,-0.26,done
3132,running,cruise,4.97,0.11,1.98,2.17,3.33,-0.83,45.03,0,4,2.03,-0.52,done
3210,running,cruise,5.13,0.12,2.05,2.09,3.30,-0.85,44.87,0,4,2.09,-0.32,done
3286,running,cruise,5.30,0.12,2.11,2.42,3.26,-0.87,44.70,0,4,2.16,-0.32,done
3364,running,cruise,5.49,0.13,2.19,2.45,3.21,-0.89,44.51,0,4,2.22,0.83,done
3442,running,cruise,5.69,0.14,2.24,2.54,3.15,-0.92,44.31,0,4,2.29,-0.25,done
3519,running,cruise,5.89,0.15,2.31,2.84,3.09,-0.96,44.11,0,4,2.36,-0.28,done
3597,running,cruise,6.13,0.16,2.38,3.10,3.01,-0.99,43.87,0,4,2.43,-0.28,done
3674,running,cruise,6.37,0.17,2.45,3.33,2.92,-1.04,43.63,0,4,2.51,-0.55,done
