T_ms,lifecycle,substate,x,y,theta_deg,speed,adv_v,turn_v,dist_wp,counter,wps_left,mag_x_raw,mag_y_raw,yaw_gyro,yaw_mag,cal_status
4,running,cruise,0.00,0.00,0.00,-0.25,0.02,0.13,50.00,0,4,0.0000,0.0000,0.00,0.00,done
83,running,cruise,-0.03,0.00,-1.57,-0.51,0.34,0.40,50.03,0,4,0.2569,-0.1138,-0.03,-77.36,done
160,running,cruise,-0.06,0.00,-1.61,-0.22,0.65,0.39,50.06,0,4,0.2569,-0.1138,-0.06,-77.36,done
239,running,cruise,-0.06,0.00,-1.67,0.38,0.97,0.38,50.06,0,4,0.2556,-0.1182,-0.09,-78.86,done
316,running,cruise,-0.00,-0.00,-1.71,0.82,1.28,0.38,50.00,0,4,0.2605,-0.1211,-0.13,-79.33,done
393,running,cruise,0.06,-0.00,-1.78,0.86,1.59,0.37,49.94,0,4,0.2540,-0.1254,-0.16,-81.31,done
471,running,cruise,0.12,-0.00,-1.73,0.51,1.90,0.38,49.88,0,4,0.2533,-0.1126,-0.19,-77.26,done
548,running,cruise,0.15,-0.00,-1.76,0.44,2.21,0.38,49.85,0,4,0.2533,-0.1126,-0.22,-77.26,done
625,running,cruise,0.18,-0.01,-1.83,0.25,2.52,0.37,49.82,0,4,0.2523,-0.1179,-0.25,-79.09,done
704,running,cruise,0.19,-0.01,-1.84,0.03,2.83,0.37,49.81,0,4,0.2492,-0.1149,-0.28,-78.42,done
782,running,cruise,0.20,-0.01,-1.84,0.30,3.14,0.37,49.80,0,4,0.2520,-0.1109,-0.31,-76.82,done
858,running,cruise,0.22,-0.01,-1.87,0.17,3.45,0.37,49.78,0,4,0.2520,-0.1109,-0.34,-76.82,done
936,running,cruise,0.24,-0.01,-1.99,0.24,3.76,0.34,49.76,0,4,0.2517,-0.1242,-0.37,-81.14,done
1014,running,cruise,0.27,-0.01,-1.97,0.40,4.07,0.35,49.73,0,4,0.2482,-0.1158,-0.40,-78.79,done
1091,running,cruise,0.30,-0.01,-1.97,0.46,4.29,0.35,49.70,0,4,0.2554,-0.1138,-0.43,-77.49,done
1169,running,cruise,0.36,-0.01,-2.00,1.02,4.30,0.35,49.64,0,4,0.2554,-0.1138,-0.46,-77.49,done
1247,running,cruise,0.45,-0.01,-2.06,1.00,4.31,0.35,49.55,0,4,0.2506,-0.1172,-0.49,-79.02,done
1324,running,cruise,0.52,-0.02,-2.05,0.97,4.29,0.36,49.48,0,4,0.2505,-0.1113,-0.52,-77.09,done
1402,running,cruise,0.62,-0.02,-2.08,1.38,4.28,0.36,49.38,0,4,0.2537,-0.1117,-0.55,-76.95,done
1480,running,cruise,0.72,-0.02,-2.11,1.09,4.28,0.36,49.28,0,4,0.2537,-0.1117,-0.58,-76.95,done
1558,running,cruise,0.80,-0.03,-2.15,1.33,4.28,0.36,49.20,0,4,0.2510,-0.1127,-0.61,-77.51,done
1635,running,cruise,0.95,-0.03,-2.26,2.17,4.26,0.37,49.05,0,4,0.2488,-0.1253,-0.64,-81.80,done
1713,running,cruise,1.14,-0.04,-2.23,2.31,4.21,0.39,48.86,0,4,0.2486,-0.1155,-0.67,-78.66,done
1791,running,cruise,1.29,-0.05,-2.22,1.70,4.19,0.41,48.71,0,4,0.2537,-0.1106,-0.70,-76.58,done
1868,running,cruise,1.46,-0.05,-2.25,2.64,4.17,0.42,48.54,0,4,0.2537,-0.1106,-0.74,-76.58,done
1946,running,cruise,1.71,-0.06,-2.32,3.23,4.15,0.43,48.29,0,4,0.2514,-0.1149,-0.77,-78.21,done
2023,running,cruise,1.96,-0.07,-2.34,3.16,4.10,0.45,48.04,0,4,0.2449,-0.1103,-0.81,-77.27,done
2100,running,cruise,2.22,-0.08,-2.39,3.40,4.07,0.47,47.78,0,4,0.2479,-0.1131,-0.84,-77.93,done
2178,running,cruise,2.48,-0.10,-2.42,3.05,4.03,0.49,47.52,0,4,0.2479,-0.1131,-0.88,-77.93,done
2256,running,cruise,2.72,-0.11,-2.41,3.15,3.96,0.52,47.28,0,4,0.2457,-0.1040,-0.92,-75.01,done
2333,running,cruise,3.01,-0.12,-2.43,3.75,3.96,0.52,46.99,0,4,0.2474,-0.1023,-0.97,-74.29,done
2411,running,cruise,3.29,-0.13,-2.48,3.24,3.91,0.54,46.71,0,4,0.2472,-0.1036,-1.01,-74.74,done
2489,running,cruise,3.55,-0.14,-2.53,3.54,3.87,0.57,46.45,0,4,0.2472,-0.1036,-1.05,-74.74,done
2566,running,cruise,3.84,-0.15,-2.57,3.57,3.81,0.60,46.16,0,4,0.2457,-0.1026,-1.10,-74.52,done
2643,running,cruise,4.13,-0.17,-2.60,3.71,3.74,0.63,45.87,0,4,0.2482,-0.1016,-1.15,-73.98,done
2723,running,cruise,4.43,-0.18,-2.57,3.80,3.63,0.68,45.57,0,4,0.2391,-0.0888,-1.20,-69.92,done
2808,running,cruise,4.76,-0.20,-2.68,3.77,3.59,0.63,45.24,0,4,0.2411,-0.0958,-1.26,-72.41,done
2888,running,cruise,5.09,-0.21,-2.74,3.90,3.67,0.66,44.92,0,4,0.2411,-0.0958,-1.31,-72.41,done
2966,running,cruise,5.41,-0.23,-2.79,3.99,3.60,0.70,44.59,0,4,0.2428,-0.0962,-1.37,-72.44,done
3045,running,cruise,5.69,-0.24,-2.77,3.04,3.50,0.75,44.31,0,4,0.2414,-0.0860,-1.43,-68.72,done
3124,running,cruise,5.92,-0.25,-2.91,2.88,3.47,0.76,44.08,0,4,0.2388,-0.0955,-1.49,-72.47,done
3205,running,cruise,6.16,-0.26,-2.97,2.92,3.41,0.79,43.84,0,4,0.2388,-0.0955,-1.55,-72.47,done
3288,running,cruise,6.42,-0.28,-3.06,2.83,3.35,0.82,43.58,0,4,0.2423,-0.0993,-1.62,-73.59,done
3368,running,cruise,6.63,-0.29,-3.05,2.60,3.26,0.87,43.37,0,4,0.2390,-0.0895,-1.68,-70.20,done
3445,running,cruise,6.86,-0.30,-3.12,3.01,3.48,0.75,43.14,0,4,0.2404,-0.0902,-1.75,-70.37,done
3527,running,cruise,7.12,-0.32,-3.16,3.19,3.44,0.78,42.88,0,4,0.2379,-0.0875,-1.81,-69.52,done
3605,running,cruise,7.38,-0.33,-3.22,3.29,3.37,0.81,42.62,0,4,0.2379,-0.0875,-1.87,-69.52,done
3684,running,cruise,7.67,-0.35,-3.33,3.81,3.31,0.85,42.33,0,4,0.2398,-0.0932,-1.94,-71.56,done
3764,running,cruise,7.97,-0.36,-3.32,3.34,3.18,0.91,42.04,0,4,0.2366,-0.0820,-2.01,-67.47,done
3843,running,cruise,8.23,-0.38,-3.41,3.16,3.11,0.95,41.77,0,4,0.2387,-0.0848,-2.08,-68.44,done
3922,running,cruise,8.47,-0.39,-3.45,2.74,3.01,0.99,41.53,0,4,0.2377,-0.0805,-2.16,-66.81,done
3999,running,cruise,8.67,-0.41,-3.53,2.56,2.98,0.92,41.33,0,4,0.2377,-0.0805,-2.23,-66.81,done
4077,running,cruise,8.87,-0.42,-3.59,2.25,3.29,0.84,41.14,0,4,0.2332,-0.0794,-2.30,-66.59,done
4158,running,cruise,9.06,-0.43,-3.63,2.64,3.27,0.86,40.94,0,4,0.2317,-0.0760,-2.37,-65.30,done
4236,running,cruise,9.31,-0.45,-3.72,3.33,3.21,0.89,40.69,0,4,0.2331,-0.0794,-2.44,-66.59,done
4315,running,cruise,9.56,-0.46,-3.79,2.77,3.14,0.93,40.45,0,4,0.2331,-0.0794,-2.51,-66.59,done
4392,running,cruise,9.76,-0.48,-3.82,2.59,3.06,0.97,40.24,0,4,0.2398,-0.0739,-2.58,-64.14,done
4469,running,cruise,9.96,-0.49,-3.91,2.54,3.00,1.00,40.04,0,4,0.2341,-0.0756,-2.66,-65.03,done
4547,running,cruise,10.16,-0.50,-3.95,2.30,2.93,1.03,39.85,0,4,0.2398,-0.0721,-2.74,-63.42,done
4624,running,cruise,10.33,-0.52,-4.01,2.18,2.87,1.07,39.67,0,4,0.2398,-0.0701,-2.82,-62.65,done
4702,running,cruise,10.51,-0.53,-4.10,2.26,2.81,1.10,39.50,0,4,0.2358,-0.0701,-2.90,-62.77,done
4780,running,cruise,10.70,-0.54,-4.24,2.42,2.91,0.85,39.31,0,4,0.2346,-0.0776,-2.98,-65.79,done
4857,running,cruise,10.88,-0.56,-4.32,2.24,3.22,0.87,39.12,0,4,0.2360,-0.0795,-3.05,-66.51,done
4935,running,cruise,11.07,-0.57,-4.35,2.79,3.20,0.90,38.93,0,4,0.2394,-0.0749,-3.12,-64.54,done
5013,running,cruise,11.33,-0.59,-4.42,3.41,3.13,0.94,38.67,0,4,0.2394,-0.0749,-3.19,-64.54,done
5090,running,cruise,11.58,-0.61,-4.52,2.61,3.06,0.97,38.43,0,4,0.2342,-0.0784,-3.26,-66.15,done
5167,running,cruise,11.78,-0.63,-4.57,2.64,2.99,1.00,38.22,0,4,0.2402,-0.0753,-3.34,-64.67,done
5246,running,cruise,12.01,-0.64,-4.70,2.93,2.93,1.03,37.99,0,4,0.2339,-0.0815,-3.42,-67.39,done
5323,running,cruise,12.24,-0.66,-4.78,2.79,2.85,1.07,37.77,0,4,0.2339,-0.0815,-3.50,-67.39,done
5401,running,cruise,12.45,-0.68,-4.80,2.54,2.75,1.12,37.56,0,4,0.2365,-0.0748,-3.58,-64.60,done
